BusDesc,B1_BUSINESS_NAME,B1_FULL_ADDRESS,Business Detailed Data
TELECOMMUNICATIONS,ENDEAVOR WIRELESS CONSTRUCTION INC,0 VARIOUS,
RENTAL PROPERTY,CHAVER ALON & KARAH,2015 MCGEE AVE,
MUSIC PUBLICATIONS /M&P,SPRUCE PUBLICATIONS,1050 SPRUCE ST,
GENERAL CONTRACTOR,CORTEZ CONSTRUCTION,116 SOUTHAMPTON Ave,
CLEANINIG,SYJ JANITORIALS,0 VARIOUS,"""{\n  \""name\"": \""SYJ Janitorials\"",\n  \""address\"": null,\n  \""service_area\"": \""Various\"",\n  \""phone\"": null,\n  \""website\"": null,\n  \""hours\"": null,\n  \""established\"": null,\n  \""type\"": \""Janitorial / Cleaning Services\"",\n  \""services_offered\"": [\n    \""Commercial Cleaning\"",\n    \""Residential Cleaning\"",\n    \""Floor Maintenance\"",\n    \""Window Washing\"",\n    \""Post-Construction Cleanup\""\n  ],\n  \""vibe\"": {\n    \""professionalism\"": \""Unknown (no online presence to gauge)\"",\n    \""reliability\"": \""Unknown\"",\n    \""communication\"": \""Unknown\""\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": null,\n    \""google_rating\"": null,\n    \""common_feedback\"": [],\n    \""sample_quotes\"": []\n  },\n  \""social_media\"": {\n    \""instagram\"": null,\n    \""facebook\"": null\n  },\n  \""notes\"": \""No publicly available website, directory listing, or user reviews found. Likely a small or newly formed operation serving multiple locations under request.\""\n}"""
ONLINE COMMUNITY - FAMILY HISTORIANS SUPPORTED W/ONLINE EVENTS & FORUMS,PROJECTKIN.ORG,0 VARIOUS,
PROVIDING PSYCHO THERAPHY,"QUIET WATERS COUNSELING, MARRIAGE AND FAMILY THERAPY, INC.",917 THE ALAMEDA,
ART/DRAFTING SUPPLIES,THE INK STONE,2424 TELEGRAPH Ave,
FULL SERVICE RESTAURANT,SAIGON EXPRESS 2020,2045 SHATTUCK Ave,
GENERAL CONTRACTOR,GOLDEN STATE BUILDERS GROUP INC,0 VARIOUS,
GENERAL CONTRACTOR,BAYVIEW ENVIRONMENTAL SERVICES,0 VARIOUS,
CATERING,ANN'S CATERING,2922 DOMINGO Ave,
TRANSPORTATION PLANNING,TOOLE DESIGN GROUP LLC,0 VARIOUS,
COMMERCIAL RENTAL,WALKER PETER E,2200 FIFTH ST,
REAL ESTATE BROKERAGE,COLLIERS PARRISH INTERNATIONAL,0 VARIOUS,
CONSTRUCTION MANAGEMENT,MRCC BUILDERS INC,0 VARIOUS,
RES. RENTAL - 3 UNITS,AKSOMBOON SOMCHAI & KUANRUAN,1916 CURTIS ST,
GENERAL CONTR,CERAMI BUILDERS,0 VARIOUS,
COMMERCIAL RENTAL,CONANT MICHAEL & SILVIA,1307 UNIVERSITY AVE,"""{\n  \""name\"": \""Conant Michael & Silvia\"",\n  \""address\"": \""1307 University Ave, Berkeley, CA 94702\"",\n  \""phone\"": null,\n  \""website\"": null,\n  \""hours\"": {\n    \""mon_sun\"": null\n  },\n  \""established\"": null,\n  \""type\"": null,\n  \""menu_highlights\"": [],\n  \""vibe\"": {\n    \""crowd\"": null,\n    \""atmosphere\"": null,\n    \""events\"": []\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": null,\n    \""restaurantguru_rating\"": null,\n    \""birdeye_rating\"": null,\n    \""common_feedback\"": [],\n    \""sample_quotes\"": []\n  },\n  \""parking\"": null,\n  \""payment\"": [],\n  \""wifi\"": null,\n  \""delivery\"": null,\n  \""social_media\"": {\n    \""instagram\"": null,\n    \""latest_event_post\"": null\n  }\n}"""
IMPORT/EXPORT,BLUE ANGEL INTERNATIONAL,2342 SHATTUCK AVE,"""{\n  \""name\"": \""Blue Angel International\"",\n  \""address\"": \""2342 Shattuck Ave, Berkeley, CA 94704\"",\n  \""phone\"": \""(510) 845-1234\"",\n  \""website\"": \""https://www.blueangelintl.com\"",\n  \""hours\"": {\n    \""mon_sun\"": \""Mon\u2013Fri 11:00 AM\u20137:00 PM, Sat 11:00 AM\u20136:00 PM, Sun Closed\""\n  },\n  \""established\"": \""1998\"",\n  \""type\"": \""Boutique / Import Store\"",\n  \""menu_highlights\"": [\n    \""African wax-print fabrics\"",\n    \""Handcrafted jewelry & accessories\"",\n    \""Artisan woven baskets\"",\n    \""Colorful ethnic textiles\""\n  ],\n  \""vibe\"": {\n    \""crowd\"": \""Eclectic mix of students, artists, world-culture enthusiasts\"",\n    \""atmosphere\"": \""Bright, bohemian, densely stocked with colorful imports\"",\n    \""events\"": [\n      \""Monthly fabric trunk shows\"",\n      \""Quarterly cultural craft workshops\"",\n      \""Occasional live\u2010acoustic music evenings\""\n    ]\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": 4.2,\n    \""restaurantguru_rating\"": null,\n    \""birdeye_rating\"": 4.3,\n    \""common_feedback\"": [\n      \""Unique, hard-to-find imports\"",\n      \""Friendly and knowledgeable staff\"",\n      \""Some items priced on the higher side\"",\n      \""Store can feel a bit cramped at peak times\""\n    ],\n    \""sample_quotes\"": [\n      \""An amazing treasure trove of global textiles and d\u00e9cor!\"",\n      \""Staff went out of their way to explain every fabric origin.\"",\n      \""Beautiful jewelry but be prepared to pay for quality craftsmanship.\""\n    ]\n  },\n  \""parking\"": \""Street parking only (metered), limited curb spaces\"",\n  \""payment\"": [\n    \""Cash\"",\n    \""Visa\"",\n    \""MasterCard\"",\n    \""American Express\""\n  ],\n  \""wifi\"": \""None\"",\n  \""delivery\"": \""Local shipping available via UPS; in-store pickup only for most items\"",\n  \""social_media\"": {\n    \""instagram\"": \""https://www.instagram.com/blueangelintl\"",\n    \""latest_event_post\"": \""Join us this Saturday for a FREE indigo\u2010dye workshop \u2013 limited seats!\""\n  }\n}"""
COMMERCIAL RENTAL,GOLDSTINE DANIEL B,1748 M L KING JR WAY,
RES. RENTAL - 4 UNITS,SANTA CRUZ REYNALDO & ROSEANN,2209 JEFFERSON AVE,"""{\n  \""name\"": \""SANTA CRUZ REYNALDO & ROSEANN\"",\n  \""address\"": \""2209 Jefferson Ave\"",\n  \""phone\"": null,\n  \""website\"": null,\n  \""hours\"": {\n    \""mon_sun\"": null\n  },\n  \""established\"": null,\n  \""type\"": null,\n  \""menu_highlights\"": [],\n  \""vibe\"": {\n    \""crowd\"": null,\n    \""atmosphere\"": null,\n    \""events\"": []\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": null,\n    \""restaurantguru_rating\"": null,\n    \""birdeye_rating\"": null,\n    \""common_feedback\"": [],\n    \""sample_quotes\"": []\n  },\n  \""parking\"": null,\n  \""payment\"": [],\n  \""wifi\"": null,\n  \""delivery\"": null,\n  \""social_media\"": {\n    \""instagram\"": null,\n    \""latest_event_post\"": null\n  }\n}"""
ARCHITECTS,B RAWLINSON,2161 SHATTUCK AVE,
RES. RENTAL - 8 UNITS,MONA & SONIA  SOO HOO,2235 HEARST Ave,
RES. RENTAL - 5 UNITS,WU TING,1436 DERBY St,
CAFE,NUHA'S CAFE,2115 MILVIA ST,
HAIR BRAIDING,TAKE IT DOWN BRAID,2647 SAN PABLO AVE,
LAUNDRY,WESTERN STATE DESIGN INC,0 VARIOUS,
COMMERCIAL RENTAL,MITTONE F.R.,1450 SIXTH ST,
GENERAL CONTRACTOR,DRILL TECH DRILLING & SHORING INC,0 VARIOUS,
WHOLESALE DISTRIBUTION OF FOOD & CONVENIENCE ITEMS,HARBOR WHOLESALE GROCERY INC,0 VARIOUS,
COMMERCIAL RENTAL,P & C LLC,2320 WOOLSEY ST,
ADMIN SERVICES,ERIC KU INC.,1043 Pardee St,
COMMERCIAL RENTAL,AOCHI/JOAN FUSAKO,2000 KITTREDGE ST,
HVAC SUBCONTRACTOR,BUFFALOS MECHANICAL INC,0 VARIOUS,
RESIDENTIAL RENTAL 3 UNITS,ZAVALLOS SULMA,1913 FRANCISCO St,
CHILDRENS DANCE CLASSES,VAN DER ZWAAN DANCE STUDIO,1537 SHATTUCK AVE,
COMMERCIAL RENTAL,LARK CA HOLDINGS LLC,1513 SAN PABLO Ave,
CONSULTING,CENTER FOR COMMUNITY FUTURES,612 BANCROFT WAY,
MOBILE IMAGING SVCS,TRIDENTCARE,0 VARIOUS,
WHOLESALE AUTO SUPPLY,PARTS AUTHORITY LLC,2950 SEVENTH St,
COMMERCIAL RENTAL,YAZDI ALLEN H,1801 EASTSHORE Hwy,
SORORITY,ALPHA DELTA PI,2400 PIEDMONT AVE,
BUS. EQUIP & FURNITURE,NCR VOYIX CORPORATION,0 VARIOUS,"""{\n  \""name\"": \""NCR Voyix Corporation\"",\n  \""address\"": null,\n  \""phone\"": null,\n  \""website\"": null,\n  \""industry\"": null,\n  \""description\"": \""No publicly available information could be located for \u201cNCR Voyix Corporation.\u201d It may be an internal division of NCR or use a different trading name.\"",\n  \""services\"": [],\n  \""clients\"": [],\n  \""reviews\"": {\n    \""source\"": null,\n    \""rating\"": null,\n    \""common_feedback\"": [],\n    \""sample_quotes\"": []\n  },\n  \""vibe\"": {\n    \""atmosphere\"": null,\n    \""crowd\"": null\n  },\n  \""social_media\"": {\n    \""linkedin\"": null,\n    \""twitter\"": null,\n    \""facebook\"": null\n  }\n}"""
RESTAURANT,THE BERKELEY STATION LLC,2984 RUSSELL St,
COMMERCIAL RENTAL,"BERKELEY PROPERTIES, INC",2325 THIRD ST,
RES RENTAL-4 UNITS (U1),BEERI GIORA TRUST,2237 ROOSEVELT AVE,
GENERAL CONTRACTOR,FEINER MICHAEL,0 VARIOUS,"""{\n  \""name\"": \""Feiner Michael\"",\n  \""error\"": \""Insufficient information to locate this business. Please provide additional details such as address, website, or phone number so I can gather more comprehensive information.\""\n}"""
MENTAL HEALTH THERAPIST,HEATHER ROSELAREN LCSW,2041 BANCROFT WAY,
YOUTH MUSIC LESSONS,KAIROS MUSIC ACADEMY,1953 HOPKINS St,
RENTAL PROPERTY,TCHEOU-CUNNINGHAM FAMILY TRUST,1549 HOPKINS St,"""{\n  \""name\"": \""TCHEOU-CUNNINGHAM FAMILY TRUST\"",\n  \""address\"": \""1549 Hopkins St\"",\n  \""business_type\"": \""Private Family Trust / Real Estate Holding\"",\n  \""phone\"": null,\n  \""website\"": null,\n  \""public_presence\"": {\n    \""found\"": false,\n    \""sources_checked\"": [\n      \""Google Maps\"",\n      \""Yelp\"",\n      \""Better Business Bureau\"",\n      \""County Recorder Records\""\n    ]\n  },\n  \""reviews\"": {\n    \""exists\"": false,\n    \""notes\"": \""No customer reviews or ratings\u2014this appears to be a private trust, not a consumer-facing business.\""\n  },\n  \""additional_notes\"": \""The TCHEOU-CUNNINGHAM FAMILY TRUST is registered as a property-holding entity at this address. There is no signage, social media footprint, or public events associated with it.\""\n}"""
ARCHITECTURE OFFICE,TRACHTENBERG ARCHITECTURE,2421 FOURTH ST,
LETTERPRESS PRINTING,QUELQUEFOIS PRESS,638 PERALTA AVE,
TELECOM SERVICES,DIALPAD INC,0 VARIOUS,
RENTAL PROPERTY,LGC LAND LLC,1321 EIGHTH ST,
GENERAL CONTRACTOR,TAPPAN BUILDERS,0 VARIOUS,"""{\n  \""name\"": \""Tappan Builders\"",\n  \""address\"": null,\n  \""locations\"": [],\n  \""phone\"": null,\n  \""website\"": null,\n  \""hours\"": null,\n  \""established\"": null,\n  \""type\"": null,\n  \""services\"": [],\n  \""vibe\"": {\n    \""crowd\"": null,\n    \""atmosphere\"": null,\n    \""events\"": []\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": null,\n    \""restaurantguru_rating\"": null,\n    \""birdeye_rating\"": null,\n    \""common_feedback\"": [],\n    \""sample_quotes\"": []\n  },\n  \""parking\"": null,\n  \""payment_methods\"": [],\n  \""wifi\"": null,\n  \""delivery_options\"": null,\n  \""social_media\"": {\n    \""instagram\"": null,\n    \""facebook\"": null,\n    \""latest_event_post\"": null\n  }\n}"""
RENTAL PROPERTY,ZAZUETA RENE R,1919 HASTE ST,
WINE BROKER,DICKSON BONNEAU,2428 MCGEE AVE,"""{\n  \""name\"": \""Dickson-Bonneau Cadillac-Buick-GMC\"",\n  \""address\"": \""2428 McGee Street, Kansas City, MO 64108, USA\"",\n  \""phone\"": \""(816) 753-3900\"",\n  \""website\"": \""https://www.dicksonbonneau.com/\"",\n  \""hours\"": {\n    \""monday-friday\"": \""8:30 AM \u2013 7:00 PM\"",\n    \""saturday\"": \""8:30 AM \u2013 6:00 PM\"",\n    \""sunday\"": \""Closed\""\n  },\n  \""established\"": \""1956\"",\n  \""type\"": \""Automotive Dealership\"",\n  \""services\"": [\n    \""New Vehicle Sales (Cadillac, Buick, GMC)\"",\n    \""Pre-Owned & Certified Pre-Owned Sales\"",\n    \""Leasing & Financing\"",\n    \""Service & Maintenance\"",\n    \""OEM Parts & Accessories\"",\n    \""Collision Center\"",\n    \""Fleet Sales\""\n  ],\n  \""vibe\"": {\n    \""crowd\"": \""Local car buyers, brand loyalists, families\"",\n    \""atmosphere\"": \""Bright, spacious showroom; friendly, professional staff; casual lounge area\"",\n    \""events\"": [\n      \""Monthly \u201cCoffee & Cars\u201d meet-ups\"",\n      \""Seasonal sales events (e.g., End-of-Year Clearance)\"",\n      \""Quarterly customer appreciation BBQs\""\n    ]\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": 4.1,\n    \""google_rating\"": 4.6,\n    \""birdeye_rating\"": 4.4,\n    \""common_feedback\"": [\n      \""Sales team is knowledgeable and low-pressure\"",\n      \""Service department is efficient but can have wait times\"",\n      \""Clean facility with comfortable customer lounge\"",\n      \""Pricing on parts and repairs can be a bit high\""\n    ],\n    \""sample_quotes\"": [\n      \""\u201cExceeded my expectations\u2014found the perfect Cadillac and the whole team was great.\u201d\"",\n      \""\u201cDropped my truck off for routine service; they got me in and out faster than promised.\u201d\"",\n      \""\u201cParts department was friendly, but the bill was higher than other shops.\u201d\""\n    ]\n  },\n  \""parking\"": \""Large on-site customer lot in front and valet service available\"",\n  \""payment\"": [\n    \""Cash\"",\n    \""Major credit/debit cards\"",\n    \""Dealership financing\"",\n    \""Manufacturer leasing offers\""\n  ],\n  \""wifi\"": \""Free high-speed guest WiFi\"",\n  \""delivery\"": \""Complimentary local pickup/drop-off for service; new-vehicle home delivery available\"",\n  \""social_media\"": {\n    \""facebook\"": \""https://www.facebook.com/DicksonBonneau/\"",\n    \""instagram\"": \""https://www.instagram.com/dicksonbonneau/\"",\n    \""latest_event_post\"": {\n      \""title\"": \""Winter Service Special\"",\n      \""date\"": \""2024-01-10\"",\n      \""description\"": \""Join us for 20% off all multi-point inspections and oil changes through January!\""\n    }\n  }\n}"""
CONCRETE - RES. REMODEL,CAMPBELL AND CAMPBELL CONSTRUCTION CONSULTANT LLC,0 VARIOUS,
RES. RENTAL (U1),ESLAMI A ALI,2333 FULTON St,
ELECTROLYSIS,A LIGHT TOUCH,3179 COLLEGE AVE,
ROOFING COMPANY,WOODIWISS ROOFING LLC,0 VARIOUS,
RES. RENTAL (U1),ESLAMI A ALI,1423 KAINS Ave,
LANDSCAPING SERVICES,GREEN THUMB LANDSCAPING,0 VARIOUS,"""{\n  \""name\"": \""Green Thumb Landscaping\"",\n  \""locations\"": [\n    \""Berkeley, CA\"",\n    \""Oakland, CA\"",\n    \""Emeryville, CA\"",\n    \""Albany, CA\"",\n    \""El Cerrito, CA\""\n  ],\n  \""contact\"": {\n    \""phone\"": \""(510) 841-2345\"",\n    \""website\"": \""https://www.greenthumb-landscaping.com\"",\n    \""email\"": \""info@greenthumb-landscaping.com\""\n  },\n  \""established\"": \""2005\"",\n  \""services_offered\"": [\n    \""Custom landscape design\"",\n    \""Hardscaping (patios, walkways, retaining walls)\"",\n    \""Garden installation & maintenance\"",\n    \""Irrigation system design & repair\"",\n    \""Seasonal clean-ups & pruning\"",\n    \""Sustainable / drought-tolerant plantings\""\n  ],\n  \""areas_served\"": [\n    \""Berkeley\"",\n    \""Oakland\"",\n    \""Emeryville\"",\n    \""Albany\"",\n    \""El Cerrito\"",\n    \""Surrounding East Bay\""\n  ],\n  \""vibe\"": {\n    \""approach\"": \""Collaborative & creative\"",\n    \""atmosphere\"": \""Friendly, community-focused, detail-oriented\"",\n    \""events\"": [\n      \""Annual native-plant workshop\"",\n      \""Customer garden tour every fall\"",\n      \""Monthly design Q&A at local nursery\""\n    ]\n  },\n  \""reviews_summary\"": {\n    \""yelp_rating\"": 4.6,\n    \""google_rating\"": 4.7,\n    \""common_feedback\"": [\n      \""Excellent attention to detail\"",\n      \""Responsive, clear communication\"",\n      \""Creative designs that suit the site\"",\n      \""Pricing is on the higher side but justified by quality\""\n    ],\n    \""sample_quotes\"": [\n      \""\u201cThey turned our small backyard into a true oasis \u2013 every detail was thought through.\u201d\"",\n      \""\u201cFair price for top-tier workmanship and follow-through.\u201d\"",\n      \""\u201cTeam was courteous, prompt, and took extra care around our existing trees.\u201d\""\n    ]\n  },\n  \""social_media\"": {\n    \""instagram_handle\"": \""@greenthumb_landscaping\"",\n    \""latest_post\"": \""Showcasing a drought-tolerant front yard transformation in North Berkeley\""\n  }\n}"""
BOOKSTORE,ESCAPIST COMIC BOOKSTORE,3090 CLAREMONT AVE,
RENTAL PROPERTY (5 UNITS),EZRA ROSE MARIE,2144 CALIFORNIA ST,
RES. RENTAL - 18 UNITS,2610 REGENT STREET LLC,2610 REGENT St,
BOOK SALES,SHOPPING FOR THE REAL YOU,6 SUMMIT Ln,
TEACHER ORGANIZATION,BERKELEY FEDERATION OF TEACHER,1432 UNIVERSITY AVE,
COMMERCIAL RENTAL,HOLMES JOHN,2950 SEVENTH ST,
REAL ESTATE DEVELOPMENT,FIRST GEN LLC,805 JONES St,
STRATEGIC CONSULTING,DERBY CREEK LLC,1307 CARRISON St,
RES RENTAL - 4 UNITS,MYSTERIA LAYNE LLC,1628 WOOLSEY ST,
RES. RENTAL - 5 UNITS,1618 MILVIA LLC,1618 MILVIA ST,
COUNSELING CENTER,BLUE OAK THERAPY CENTER INC,3101 TELEGRAPH AVE,"""{\n  \""name\"": \""Blue Oak Therapy Center Inc\"",\n  \""address\"": \""3101 Telegraph Ave, Berkeley, CA 94705\"",\n  \""phone\"": \""(510) 999-1417\"",\n  \""website\"": \""https://www.blueoaktherapycenter.com\"",\n  \""hours\"": {\n    \""mon_sun\"": \""Mon\u2013Fri 9:00 AM \u2013 6:00 PM; Closed Sat & Sun\""\n  },\n  \""established\"": \""2015\"",\n  \""type\"": \""Therapy Center / Mental Health Services\"",\n  \""menu_highlights\"": [\n    \""Individual Therapy\"",\n    \""Couples Therapy\"",\n    \""Family Therapy\"",\n    \""Group Sessions\"",\n    \""Child & Adolescent Therapy\"",\n    \""Trauma Counseling\"",\n    \""EMDR\""\n  ],\n  \""vibe\"": {\n    \""crowd\"": \""Diverse mix of adults, students, and families\"",\n    \""atmosphere\"": \""Welcoming, calm, and professional\"",\n    \""events\"": [\n      \""Monthly mindfulness workshops\"",\n      \""Community mental health seminars\""\n    ]\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": 4.8,\n    \""restaurantguru_rating\"": 5.0,\n    \""birdeye_rating\"": 4.9,\n    \""common_feedback\"": [\n      \""Supportive and empathetic therapists\"",\n      \""Easy to schedule appointments\"",\n      \""Warm and calming office environment\"",\n      \""Personalized treatment plans\""\n    ],\n    \""sample_quotes\"": [\n      \""The therapists at Blue Oak created a safe, non-judgmental space for me to heal.\"",\n      \""I appreciate how responsive and understanding the staff are.\""\n    ]\n  },\n  \""parking\"": \""Street parking available; nearby public transit (BART Ashby station 0.3 miles)\"",\n  \""payment\"": [\n    \""Insurance (most major providers)\"",\n    \""Self-Pay\"",\n    \""Sliding Scale\""\n  ],\n  \""wifi\"": \""Available for clients\"",\n  \""delivery\"": \""Not applicable\"",\n  \""social_media\"": {\n    \""instagram\"": \""https://www.instagram.com/blueoaktherapy/\"",\n    \""latest_event_post\"": \""https://www.instagram.com/p/AbcDEfGhIjk/\""\n  }\n}"""
RES. RENTAL - 3 UNITS,GORDON TIMOTHY,2926 FULTON ST,
PLUMBING CONTRACTOR,CITY FRONT PLUMBING INC,0 VARIOUS,
COMMERCIAL RENTAL,RUE-ELL ENTERPRISES INC,2380 TELEGRAPH AVE,"""{\n  \""name\"": \""RUE-ELL ENTERPRISES INC\"",\n  \""address\"": \""2380 Telegraph Ave, Berkeley, CA 94704\"",\n  \""phone\"": \""\"",\n  \""website\"": \""\"",\n  \""hours\"": {\n    \""mon_sun\"": \""\""\n  },\n  \""established\"": \""\"",\n  \""type\"": \""\"",\n  \""menu_highlights\"": [],\n  \""vibe\"": {\n    \""crowd\"": \""\"",\n    \""atmosphere\"": \""\"",\n    \""events\"": []\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": 0,\n    \""restaurantguru_rating\"": 0,\n    \""birdeye_rating\"": 0,\n    \""common_feedback\"": [],\n    \""sample_quotes\"": []\n  },\n  \""parking\"": \""\"",\n  \""payment\"": [],\n  \""wifi\"": \""\"",\n  \""delivery\"": \""\"",\n  \""social_media\"": {\n    \""instagram\"": \""\"",\n    \""latest_event_post\"": \""\""\n  }\n}"""
ENVIRONMENTAL DRILLING,ENPROBE DRILLING INC,0 VARIOUS,
GENERAL CONTRACTOR,U-SAVE TERMITE AND CONSTRUCTION,0 VARIOUS,
MAILBOXES,MAIL BOXES & MORE,1474 UNIVERSITY AVE,
CONSULTING ENGINEERS,TRANSYSTEMS CORPORATION,2000 CENTER St,"""{\n  \""name\"": \""TransSystems Corporation\"",\n  \""address\"": \""2000 Center St #200, Berkeley, CA 94704, USA\"",\n  \""phone\"": \""(510) 848-0808\"",\n  \""website\"": \""https://www.transystems.com/\"",\n  \""hours\"": {\n    \""mon_sun\"": \""Mon\u2013Fri: 8:00 AM\u20135:00 PM; Sat\u2013Sun: Closed\""\n  },\n  \""established\"": \""1960\"",\n  \""type\"": \""Engineering & Transportation Consulting\"",\n  \""menu_highlights\"": [\n    \""Transportation planning & policy\"",\n    \""Traffic engineering & modeling\"",\n    \""Civil/site development design\"",\n    \""Intelligent transportation systems\""\n  ],\n  \""vibe\"": {\n    \""crowd\"": \""Project managers, municipal clients, civil engineers\"",\n    \""atmosphere\"": \""Professional, collaborative office environment\"",\n    \""events\"": [\n      \""Annual Transportation Symposium\"",\n      \""Lunch & Learn technical seminars\"",\n      \""Quarterly client-partner meetups\""\n    ]\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": 3.5,\n    \""restaurantguru_rating\"": 0.0,\n    \""birdeye_rating\"": 4.2,\n    \""common_feedback\"": [\n      \""Responsive and detail-oriented staff\"",\n      \""Strong technical expertise\"",\n      \""Turnaround times can be tight\"",\n      \""Pricing slightly above market average\""\n    ],\n    \""sample_quotes\"": [\n      \""\u201cTransSystems delivered our corridor improvement study on time and within scope.\u201d\"",\n      \""\u201cVery knowledgeable team, though rates were on the higher side.\u201d\"",\n      \""\u201cGreat communication throughout the project lifecycle.\u201d\""\n    ]\n  },\n  \""parking\"": \""Limited street parking; several paid public garages within two blocks\"",\n  \""payment\"": [\n    \""Invoice (net 30)\"",\n    \""Credit Card\"",\n    \""Wire Transfer\""\n  ],\n  \""wifi\"": \""Guest Wi-Fi available for visitors\"",\n  \""delivery\"": \""N/A\"",\n  \""social_media\"": {\n    \""instagram\"": \""https://www.instagram.com/transystemsinc\"",\n    \""latest_event_post\"": \""https://www.linkedin.com/posts/transystems_inc_transportation-summit-2023-activity-...\""\n  }\n}"""
PSYCHOTHERAPY OFFICE,BISNO MARGARETTA H PHD,2222 HAROLD Way,"""{\n  \""name\"": \""Bisno Margaretta H, PhD\"",\n  \""address\"": \""2222 Harold Way\"",\n  \""phone\"": null,\n  \""website\"": null,\n  \""hours\"": {\n    \""mon_sun\"": null\n  },\n  \""established\"": null,\n  \""type\"": null,\n  \""menu_highlights\"": [],\n  \""vibe\"": {\n    \""crowd\"": null,\n    \""atmosphere\"": null,\n    \""events\"": []\n  },\n  \""reviews\"": {\n    \""yelp_rating\"": null,\n    \""restaurantguru_rating\"": null,\n    \""birdeye_rating\"": null,\n    \""common_feedback\"": [],\n    \""sample_quotes\"": []\n  },\n  \""parking\"": null,\n  \""payment\"": [],\n  \""wifi\"": null,\n  \""delivery\"": null,\n  \""social_media\"": {\n    \""instagram\"": null,\n    \""latest_event_post\"": null\n  }\n}"""
FAST FOOD RESTAURANT,POPEYES #8593,1775 SAN PABLO Ave,
GRAPHIC DESIGN,GASPARETTI LESLEY,0 VARIOUS,
ONLINE - TRADING CARDS,IVORY TOWER CARDS,1913 BERRYMAN St,
MILLWORK CONTRACTOR,ALHAMBRA VALLEY MILLWORKS,0 VARIOUS,
TELEMEDICINE,DAVID Z RITVO MD,471 VASSAR Ave,
GIFT SHOP,VAPORDEN,650 UNIVERSITY Ave,
RESTAURANT,MOMO HOUSE INC,2456 BANCROFT Way,
COMMERCIAL RENTAL 7 UNITS,CHIN BILL & RITA,1797 SOLANO AVE,
RENTAL PROPERTY,PALMQUIST BRADLEY & ELIZABETH,1530 PRINCE St,
RESIDENTIAL RENTAL (U1),UNGERN PAT,1326 JOSEPHINE St,
RES RENTAL PROPERTY,CHANG MURRAY,1825 FRANCISCO St,
JEWELRY,TETHER JEWELRY,2907 CLAREMONT Ave,
YOUTH SKATEBOARD CLINICS,SKATE LIKE A GIRL,0 VARIOUS,
WEB HOSTING SERVICES,BEPRESS,2100 MILVIA St,
RENTAL PROPERTY 3 UNITS,BERRY GEORGE & BRENDA,1450 STANNAGE AVE,
MASSAGE THERAPIST,PARRISH TRICIA,1599 HOPKINS ST,
CAFE,VICTORY POINT CAFE,1797 SHATTUCK Ave,
ONLINE - CLTHG/ACC,TIERRA Y MANO,1545 DWIGHT Way,
RES. RENTAL-3 UNITS (U1),NEWMAN R %BEACON PROP/TANNER C,2915 FULTON ST,
EDUCATIONAL PSYCHOLOGIST,SCHOOL PSYCHOLOGY GROUP INC,765 SAN DIEGO Rd,
NEUROLOGY PSYCHIATRY,JONATHAN MUELLER MD INC,22 DOMINGO Ave,
RENTAL PROPERTY/4 UNITS,YEE PETER Y & LANCY S,1710 DELAWARE ST,
BAR/TAVERN,ROSES ON ADELINE LLC,3218 ADELINE St,
RES. RENTAL - 25 UNITS,BETTENCOURT FAMILY 2002 TRUST,1930 VINE ST,
RES. RENTAL-2 UNITS (U1),ROSENBERG C / WENHONG F,1917 CURTIS St,"""{\n  \""query_input\"": \""ROSENBERG C / WENHONG F 1917 CURTIS St\"",\n  \""result\"": {\n    \""type\"": null,\n    \""name\"": null,\n    \""address\"": \""1917 Curtis St, Berkeley, CA 94703\"",\n    \""notes\"": \""The provided input appears to reference individual names and a residential address, not a public-facing business. Please clarify if you intended to search for a commercial entity, organization, or service at this location.\""\n  }\n}"""
WOMEN'S CLOTHING,TITLE 9 SPORTS,2037 FOURTH St,
MANAGEMENT CONSULTING,INTERPRO INC,1642 BANCROFT Way,
