APN,RecordID,BusDesc,B1_PER_SUB_TYPE,DBA,NAICS,Tax_Code,Employee_Num,Bus_Own_Type,B1_BUSINESS_NAME,B1_ADDRESS1,B1_ADDRESS2,B1_CITY,B1_STATE,B1_ZIP,B1_CONTACT_TYPE,B1_FULL_ADDRESS,B1_SITUS_CITY,B1_SITUS_STATE,B1_SITUS_ZIP,Business_Location
057 209500500,BL-005497,RES. RENTAL-3 UNITS OCC,Rental of Real Property,GONZALEZ J & CRUZ M,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,GONZALEZ J & CRUZ M,1800 SEVENTH ST,,BERKELEY,CA,94710,Business Owner,1800 SEVENTH ST,BERKELEY,CA,94710,
ZZZZZZZZZZZZZ,BL-047486,RETRACTABLE SCREEN INSTL,Construction or Contractor,SCREENS OF NORTHERN CALIFORNIA,238390 - Other Building Finishing Contractors,C,5,Corporation,SCREENS OF NORTHERN CALIFORNIA,1054 SHARY CIR STE C,,CONCORD,CA,94518,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-021897,POWER INSTALL FOR MARINA DOCK,Construction or Contractor,ANVIL POWER INC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,2,Corporation,ANVIL POWER INC,1550 PARK AVE,,EMERYVILLE,CA,94608,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
054 171803300,BL-033280,COMMERCIAL RENTAL,Rental of Real Property,PEPER ERIK,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,1,Sole Ownership,PEPER ERIK,2236 DERBY ST,,BERKELEY,CA,94705,Business Owner,2236 DERBY ST,BERKELEY,CA,94705,
ZZZZZZZZZZZZZ,BL-020298,ROOFING,Construction or Contractor,PRECISE INSULATION,238160 - Roofing Contractors,C,0,Corporation,PRECISE INSULATION,546 Ygnacio Valley Road,,WALNUT CREEK,CA,94596,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
054 170701001,BL-051781,YOUTH ORCHESTRA,Non Profit Organizations,YOUNG PEOPLE'S CHAMBER ORCHESTRA,711130 - Musical Groups and Artists,N,3,Corporation,YOUNG PEOPLE'S CHAMBER ORCHESTRA,PO BOX 5113,,BERKELEY,CA,947050113,Business Owner,2727 COLLEGE AVE,BERKELEY,CA,94705,
ZZZZZZZZZZZZZ,BL-019801,CLEANING SERVICES,Business Personal Repair Svs,ANGELS HOUSE CLEANING & OFFICE,561720 - Janitorial Services,B,0,Sole Ownership,ANGELS HOUSE CLEANING & OFFICE,36 CHELSEY,,RICHMOND,CA,94801,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
052 156101500,BL-006096,RES. RENTAL - 7 UNITS (3 OCC),Rental of Real Property,HWANG DAVID,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,HWANG DAVID,3042 BENVENUE AVE,,BERKELEY,CA,94705-2510,Business Owner,3044 BENVENUE AVE,BERKELEY,CA,94705,
ZZZZZZZZZZZZZ,BL-022616,GENERAL CONTRACTOR,Construction or Contractor,RAYMOND PENG CONSTRUCTION,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,1,Sole Ownership,RAYMOND PENG CONSTRUCTION,3145 GEARY BLVD PMB 108,,SAN FRANCISCO,CA,94118,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-018211,EVENT PRODUCTIONS,Entertainment Recreation,STANDARD EVENT RENTALS - IMPACT EVENT SOLUTIONS,532299 - All Other Consumer Goods Rental,E,2,LLC,STANDARD EVENT RENTALS - IMPACT EVENT SOLUTIONS,1150 BRICKYARD COVE RD STE 212,,PT RICHMOND,CA,948014181,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-026557,CONCRETE CONTRACTOR,Construction or Contractor,DUENAS CONCRETE CONSTRUCTION C,238990 - All Other Specialty Trade Contractors,C,2,Sole Ownership,DUENAS CONCRETE CONSTRUCTION C,PO BOX 4347,,VALLEJO,CA,94590,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-021022,GENERAL CONTRACTOR,Construction or Contractor,THE HANDYJEW LLC,236115 - New Single-Family Housing Construction (except For-Sale Builders),C,2,LLC,THE HANDYJEW LLC,1926 FRANCISCO WAY,,RICHMOND,CA,94805-2004,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
052 153100900,BL-014779,ARCHITECTURAL FIRM,Professional SemiProfessional,BRIAN POMETTA ARCHITECTS PC,541310 - Architectural Services,P,1,Corporation,BRIAN POMETTA ARCHITECTS PC,1743 ALCATRAZ AVE,,BERKELEY,CA,94703-2741,Business Owner,1743 ALCATRAZ Ave,BERKELEY,CA,94703,
055 187701003,BL-008251,RESTAURANT,Retail Trade,IB'S,722513 - Limited-Service Restaurants,R,8,LLC,IB'S,2513 DURANT AVE,,BERKELEY,CA,94704-1714,Business Owner,2513 DURANT Ave,BERKELEY,CA,94704,
057 202501703,BL-047947,COMMERCIAL RENTAL,Rental of Real Property,2054 UNIVERSITY LLC,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,0,LLC,2054 UNIVERSITY LLC,100 LARKSPUR LANDING CIR #218,,LARKSPUR,CA,94939,Business Owner,2054 UNIVERSITY AVE,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-021899,TRANSPORTATION SVCS,Business Personal Repair Svs,WEST BERKELEY SHUTTLE LLC,485999 - All Other Transit and Ground Passenger Transportation,B,0,LLC,WEST BERKELEY SHUTTLE LLC,1120 NYE ST,,SAN RAFAEL,CA,94901,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-007221,MANAGEMENT CONSULTING,Professional SemiProfessional,OPTIMAS SERVICES INC,541611 - Administrative Management and General Management Consulting Services,P,1,Corporation,OPTIMAS SERVICES INC,1151 HARBOR BAY PKWY STE 124B,,ALAMEDA,CA,945026568,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
052 151801200,BL-013741,"GRAPHIC DESIGN, WEBSITE CONSULTATION, DESIGN, CREATION & HOSTING",Professional SemiProfessional,PHLUENT INC,541430 - Graphic Design Services,P,1,Corporation,PHLUENT INC,1311 ALCATRAZ AVE,,BERKELEY,CA,947022605,Business Owner,1311 ALCATRAZ Ave,BERKELEY,CA,94702,
061 261300501,BL-021234,SKIN CARE - ESTHETICIAN,Business Personal Repair Svs,PEGGY LEE SKIN CARE,812112 - Beauty Salons,B,1,Sole Ownership,PEGGY LEE SKIN CARE,1760 SOLANO AVE STE 209B,,BERKELEY,CA,94707-2218,Business Owner,1760 SOLANO Ave,BERKELEY,CA,94707,
052 157407000,BL-016831,RES. RENTAL - 9 UNITS,Rental of Real Property,REGENCY VENTURE LLC,531110 - Lessors of Residential Buildings and Dwellings,L,0,LLC,REGENCY VENTURE LLC,PO BOX 1060,,PLEASANTON,CA,94566-0907,Business Owner,2511 PRINCE St,BERKELEY,CA,94705,
052 153502400,BL-003098,RENTAL PROPERTY,Rental of Real Property,1618 FAIRVIEW STREET LLC,531110 - Lessors of Residential Buildings and Dwellings,L,2,LLC,1618 FAIRVIEW STREET LLC,183 DAY ST,,SAN FRANCISCO,CA,94131,Business Owner,1618 FAIRVIEW St,BERKELEY,CA,94703,
ZZZZZZZZZZZZZ,BL-016265,COMMUNICATIONS,Professional SemiProfessional,CRITICAL INCIDENT VIDEOS LLC,541519 - Other Computer Related Services,P,1,LLC,CRITICAL INCIDENT VIDEOS LLC,3069 ALAMO DR #122,,VACAVILLE,CA,95687-6344,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
053 165100500,BL-020012,BIOTECHNOLOGY R & D,Professional SemiProfessional,"PRELLIS BIOLOGICS, INC.",541711 - Research and Development in Biotechnology,P,40,Corporation,"PRELLIS BIOLOGICS, INC.",999 ANTHONY ST,,BERKELEY,CA,947102714,Business Owner,999 ANTHONY St,BERKELEY,CA,94710,
054 177800101,BL-014506,FINE ART PAINTING/PHOTO,Retail Trade,THE COTTON CANVAS,453920 - Art Dealers,R,0,Sole Ownership,THE COTTON CANVAS,930 DWIGHT WAY STE 10A,,BERKELEY,CA,94710-2591,Business Owner,930 DWIGHT Way,BERKELEY,CA,94710,
058 224701700,BL-007260,PSYCHOLOGIST,Professional SemiProfessional,KRYSTAL SHEILA PHD,621330 - Offices of Mental Health Practitioners (except Physicians),P,0,Sole Ownership,KRYSTAL SHEILA PHD,1509 EUCLID AVE,,BERKELEY,CA,94708-1906,Business Owner,1509 EUCLID AVE,BERKELEY,CA,94708,
ZZZZZZZZZZZZZ,BL-016917,STREET LIGHT MAINTENANCE PROJECTS,Construction or Contractor,NEMA CONSTRUCTION,238990 - All Other Specialty Trade Contractors,C,3,Sole Ownership,NEMA CONSTRUCTION,555 PIERCE ST APT 105,,ALBANY,CA,94706-1001,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
055 187503001,BL-020517,COMMERCIAL RENTAL,Rental of Real Property,2506 HASTE STREET PARTNERS LLC,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,0,LLC,2506 HASTE STREET PARTNERS LLC,2455 TELEGRAPH AVE,,BERKELEY,CA,947042323,Business Owner,2506 HASTE St,BERKELEY,CA,94704,
055 184602800,BL-046182,RESIDENTIAL RENTAL,Rental of Real Property,2525 BENVENUE LLC,531110 - Lessors of Residential Buildings and Dwellings,L,0,LLC,2525 BENVENUE LLC,2040 BANCROFT WAY STE 301,,BERKELEY,CA,94704-1498,Business Owner,2525 BENVENUE AVE,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-017899,HEATING & AIR CONDITIONING CONTRACTOR,Construction or Contractor,SPECIALIZED HEATING & AIR CONDITIONING,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,0,Sole Ownership,SPECIALIZED HEATING & AIR CONDITIONING,8749 NORRIS CANYON RD,,CASTRO VALLEY,CA,94552-9520,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
052 153200201,BL-007837,PSYCHOTHERAPY PRACTICE,Professional SemiProfessional,MELISSA NANCE MARRIAGE & FAMILY THERAPIST,621330 - Offices of Mental Health Practitioners (except Physicians),P,0,Sole Ownership,MELISSA NANCE MARRIAGE & FAMILY THERAPIST,1137 HIGH CT APT A,,BERKELEY,CA,94708-1650,Business Owner,3330 ADELINE St,BERKELEY,CA,94703,
ZZZZZZZZZZZZZ,BL-017311,ROOFING CONTRACTOR,Construction or Contractor,MASTER CRAFT ROOFING,238160 - Roofing Contractors,C,4,Corporation,MASTER CRAFT ROOFING,6525 CROWN BLVD # 20697,,SAN JOSE,CA,95160-4028,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-022028,SMART GADGET REPAIRS,Business Personal Repair Svs,ALJURF HUSAM,811490 - Other Personal and Household Goods Repair and Maintenance,B,0,Sole Ownership,ALJURF HUSAM,205 16TH ST APT 7,,RICHMOND,CA,94801,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
056 192403300,BL-033033,RES. RENTAL - 3 UNITS,Rental of Real Property,KASHANI ALI R,531110 - Lessors of Residential Buildings and Dwellings,L,4,Sole Ownership,KASHANI ALI R,2625 ALCATRAZ AVE #501,,BERKELEY,CA,94705-2454,Business Owner,2317 BROWNING ST,BERKELEY,CA,94702,
063 298701900,BL-015742,PSYCHOTHERAPY,Professional SemiProfessional,JENNIE HICKS LMFT,621330 - Offices of Mental Health Practitioners (except Physicians),P,0,Sole Ownership,JENNIE HICKS LMFT,1054 CRAGMONT AVE,,BERKELEY,CA,94708,Business Owner,1054 CRAGMONT Ave,BERKELEY,CA,94708,
ZZZZZZZZZZZZZ,BL-020238,ELECTRICAL CONTRACTOR,Construction or Contractor,SAM BEST ELECTRIC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,1,Sole Ownership,SAM BEST ELECTRIC,329 CARMEL AVE,,EL CERRITO,CA,94530-3734,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
057 209200300,BL-040462,CONSULTING,Professional SemiProfessional,GALE KATHARINE,541618 - Other Management Consulting Services,P,0,Sole Ownership,GALE KATHARINE,936 HEARST AVE,,BERKELEY,CA,94710,Business Owner,936 HEARST AVE,BERKELEY,CA,94710,
057 209301501,BL-020573,REAL ESTATE SALES/SERVICE,Professional SemiProfessional,BAY REALTY,531210 - Offices of Real Estate Agents and Brokers,P,2,Sole Ownership,BAY REALTY,2551 SAN RAMON VALLEY BLVD STE 107A,,SAN RAMON,CA,945831661,Business Owner,901 UNIVERSITY Ave,BERKELEY,CA,94710,
056 198601000,BL-035163,RES. RENTAL - 3 UNITS,Rental of Real Property,LOPEZ SALVADOR & SANDRA,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,LOPEZ SALVADOR & SANDRA,8112 HILLANDALE DRIVE,,SAN DIEGO,CA,92120,Business Owner,1203 ALLSTON WAY,BERKELEY,CA,94702,
059 228702102,BL-022287,ARCHITECTS OFFICE,Professional SemiProfessional,DANIEL SMITH & ASSOCIATES,541310 - Architectural Services,P,6,Sole Ownership,DANIEL SMITH & ASSOCIATES,1107 VIRGINIA ST,,BERKELEY,CA,94702,Business Owner,1107 VIRGINIA ST,BERKELEY,CA,94702,
ZZZZZZZZZZZZZ,BL-018308,TELEPHONE COMPANY,Business Personal Repair Svs,EZELL'S TELEPHONE COMPANY,519190 - All Other Information Services,B,5,Corporation,EZELL'S TELEPHONE COMPANY,510 N L ST,,LIVERMORE,CA,945512241,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
052 158300400,BL-032796,RES. RENTAL - 6 UNITS,Rental of Real Property,BAKHTIARI HAMID & URANUS,531110 - Lessors of Residential Buildings and Dwellings,L,2,Sole Ownership,BAKHTIARI HAMID & URANUS,2212 ASHBY AVE,,BERKELEY,CA,94705-1908,Business Owner,2212 ASHBY AVE,BERKELEY,CA,94705,
ZZZZZZZZZZZZZ,BL-045901,SOFTWARE COMPANY,Professional SemiProfessional,NEOGOV / GOVERNMENT JOBS.COM INC,541511 - Custom Computer Programming Services,P,0,Corporation,NEOGOV / GOVERNMENT JOBS.COM INC,"2120 PARK PLACE, STE 100",,EL SEGUNDO,CA,90245,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-016975,PV SOLAR INSTALL,Construction or Contractor,NABU ENERGY LLC,238990 - All Other Specialty Trade Contractors,C,4,LLC,NABU ENERGY LLC,39899 BALENTINE DR STE 200,,NEWARK,CA,945605361,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-051528,PLUMBING CONTRACTOR,Construction or Contractor,ALFA PLUMBING,"238220 - Plumbing, Heating, and Air-Conditioning Contractors",C,2,Sole Ownership,ALFA PLUMBING,930 CERRITO ST,,ALBANY,CA,94706,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
054 171001700,BL-015838,PSYCHOTHERAPY PRACTICE,Professional SemiProfessional,OLESEN ROBIN E LCSW,621330 - Offices of Mental Health Practitioners (except Physicians),P,1,Sole Ownership,OLESEN ROBIN E LCSW,2745 HILLEGASS AVE,,BERKELEY,CA,947051206,Business Owner,2745 HILLEGASS Ave,BERKELEY,CA,94705,
ZZZZZZZZZZZZZ,BL-014913,CLEANING SERVICES,Business Personal Repair Svs,AURA A PROFESSIONAL CLEANING SERVICE,561720 - Janitorial Services,B,0,Sole Ownership,AURA A PROFESSIONAL CLEANING SERVICE,1455 N CAMINO ALTO APT 230,,VALLEJO,CA,94589,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-044008,RECORD STORAGE,Business Personal Repair Svs,"ACCESS CIG, LLC",493190 - Other Warehousing and Storage,B,4,LLC,"ACCESS CIG, LLC",6902 PATTERSON PASS RD. STE. G,,LIVERMORE,CA,94550,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
060 244601700,BL-034093,RENTAL PROPERTY/3 UNITS,Rental of Real Property,LEE EUGENE,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,LEE EUGENE,806 JACKSON ST,,BERKELEY,CA,94706-1505,Business Owner,1845 BERRYMAN ST,BERKELEY,CA,94703,
ZZZZZZZZZZZZZ,BL-032882,GENERAL CONTRACTOR,Construction or Contractor,BERKELEY DESIGN BUILD INC,236220 - Commercial and Institutional Building Construction,C,2,Corporation,BERKELEY DESIGN BUILD INC,5427 TELEGRAPH AVE STE A,,OAKLAND,CA,94609,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
054 170800500,BL-000953,RENTAL PROPERTY,Rental of Real Property,PARACAS LLC,531110 - Lessors of Residential Buildings and Dwellings,L,0,LLC,PARACAS LLC,5529 LAWTON AVE,,OAKLAND,CA,946181508,Business Owner,2737 FOREST Ave,BERKELEY,CA,94705,
052 156100900,BL-018119,RENTAL PROPERTY - 5 UNITS,Rental of Real Property,SLOBOD ANN,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,SLOBOD ANN,1810 SIXTH ST,,BERKELEY,CA,94710-2003,Business Owner,3020 BENVENUE Ave,BERKELEY,CA,94705,
057 205601700,BL-025747,RENTAL PROPERTY/4 UNITS,Rental of Real Property,JUE FUNG S & JUN W,531110 - Lessors of Residential Buildings and Dwellings,L,2,Sole Ownership,JUE FUNG S & JUN W,PO BOX 5489,,BERKELEY,CA,94705,Business Owner,1803 BONITA AVE,BERKELEY,CA,94709,
054 178502600,BL-011616,RES. RENTAL - 6 UNITS,Rental of Real Property,SO SANDY,531110 - Lessors of Residential Buildings and Dwellings,L,2,Sole Ownership,SO SANDY,475 EL CAMINO REAL STE 401,,MILLBRAE,CA,940302643,Business Owner,1132 PARKER St,BERKELEY,CA,94702,
ZZZZZZZZZZZZZ,BL-020401,TELECOMMUNICATIONS,Retail Trade,INVERTICE INC,517919 - All Other Telecommunications,R,10,Corporation,INVERTICE INC,1830 COUNTY LINE RD STE 300,,HUNTINGDON VY,PA,19006-1703,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
060 238800400,BL-034636,COMMERCIAL RENTAL,Rental of Real Property,1101 8TH STREET LLC,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,0,LLC,1101 8TH STREET LLC,1300 SOUTH 51ST ST,,RICHMOND,CA,94804 462,Business Owner,1101 EIGHTH ST,BERKELEY,CA,94710,
059 228301600,BL-031764,PROPERTY MGMT CONSULTING,Professional SemiProfessional,"PANPACIFIC PROPERTIES, LLC",531312 - Nonresidential Property Managers,P,0,LLC,"PANPACIFIC PROPERTIES, LLC",1415 MCGEE AVE,,BERKELEY,CA,94703,Business Owner,1415 MCGEE AVE,BERKELEY,CA,94703,
055 189501501,BL-001660,RES. RENTAL - 53 UNITS,Rental of Real Property,B & G ENTERPRISES LLC,531110 - Lessors of Residential Buildings and Dwellings,L,1,Corporation,B & G ENTERPRISES LLC,2855 TELEGRAPH AVE STE 304,,BERKELEY,CA,94705,Business Owner,2000 DURANT AVE,BERKELEY,CA,94704,
059 226700300,BL-007866,ELECTRICAL CONTRACTOR,Construction or Contractor,KEALEY ELECTRIC CONTRACTOR,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,0,Sole Ownership,KEALEY ELECTRIC CONTRACTOR,1518 MILVIA ST,,BERKELEY,CA,94709-2010,Business Owner,1518 MILVIA St,BERKELEY,CA,94709,
060 241605500,BL-008541,RENTAL PROPERTY,Rental of Real Property,COLIN FAMILY TRUST,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,COLIN FAMILY TRUST,1480 WARRINGTON RD,,SANTA ROSA,CA,95404-9781,Business Owner,1311 HOPKINS St,BERKELEY,CA,94702,
059 226000201,BL-050875,HOME DECOR & GIFTS,Retail Trade,A PRIORI,453910 - Pet and Pet Supplies Stores,R,2,LLC,A PRIORI,2100 VINE ST,,BERKELEY,CA,94709,Business Owner,2112 VINE ST,BERKELEY,CA,94709,
057 203100900,BL-003963,CONSULTING CITY PLANNING,Professional SemiProfessional,DUNCAN & JONES,541360 - Geophysical Surveying and Mapping Services,P,0,Sole Ownership,DUNCAN & JONES,116 FAIRLAWN DR,,BERKELEY,CA,94708-2108,Business Owner,2161 SHATTUCK AVE,BERKELEY,CA,94704,
059 226000800,BL-016808,RENTAL PROPERTY- 6 UNITS,Rental of Real Property,EAST BAY 1 PROPERTIES,531110 - Lessors of Residential Buildings and Dwellings,L,0,LLC,EAST BAY 1 PROPERTIES,2625 ALCATRAZ AVE # 335,,BERKELEY,CA,94705-2702,Business Owner,1526 WALNUT St,BERKELEY,CA,94709,
054 174502400,BL-022328,ARTIST CONSULTING,Professional SemiProfessional,ARRENDONDO CARIANNA,541618 - Other Management Consulting Services,P,1,Sole Ownership,ARRENDONDO CARIANNA,1012 PARDEE ST,,BERKELEY,CA,94710,Business Owner,1012 PARDEE St,BERKELEY,CA,94710,
059 228701001,BL-007433,DOG WALKING,Business Personal Repair Svs,WILD SIDE DOG WALKING,812910 - Pet Care (except Veterinary) Services,B,1,Sole Ownership,WILD SIDE DOG WALKING,1290 HOPKINS ST APT 34,,BERKELEY,CA,94702,Business Owner,1624 KAINS Ave,BERKELEY,CA,94702,
057 206001200,BL-017859,TELEHEALTH COUNSELING,Professional SemiProfessional,ROWNY KATHARINE L,621330 - Offices of Mental Health Practitioners (except Physicians),P,0,Sole Ownership,ROWNY KATHARINE L,1810 BERKELEY WAY APT 6,,BERKELEY,CA,947031546,Business Owner,1810 BERKELEY Way,BERKELEY,CA,94703,
057 201801500,BL-038076,BOARDING HOUSE,Rental of Real Property,KAYLER ASHLEY,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,KAYLER ASHLEY,2921 FULTON ST,,BERKELEY,CA,94705,Business Owner,2242 M L KING JR WAY,BERKELEY,CA,94704,
ZZZZZZZZZZZZZ,BL-021120,ELECTRICAL CONTRACTOR,Construction or Contractor,TL ELECTRIC LLC,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,1,LLC,TL ELECTRIC LLC,1445 SLOAT BLVD,,SAN FRANCISCO,CA,94132-1314,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
062 287600100,BL-006380,CUSTOM-BUILT GOLF CLUBS,Retail Trade,NORTH TOWER GOLF,451110 - Sporting Goods Stores,R,0,Sole Ownership,NORTH TOWER GOLF,705 PERALTA AVE,,BERKELEY,CA,947071817,Business Owner,705 PERALTA Ave,BERKELEY,CA,94707,
055 189901500,BL-027750,RENTAL PROPERTY/5 UNITS,Rental of Real Property,WU LARRY & SOFIA,531110 - Lessors of Residential Buildings and Dwellings,L,4,Sole Ownership,WU LARRY & SOFIA,93 CAMELOT CT,,DALY CITY,CA,94015,Business Owner,2413 M L KING JR WAY,BERKELEY,CA,94704,
063 295602900,BL-011818,DESIGN,Professional SemiProfessional,CIRCO LABS,541490 - Other Specialized Design Services,P,1,Sole Ownership,CIRCO LABS,740 EUCLID AVE,,BERKELEY,CA,94708-1334,Business Owner,740 EUCLID Ave,BERKELEY,CA,94708,
052 157307601,BL-016870,DENTAL OFFICE,Professional SemiProfessional,"KRISTINA ZOULAS, DDS, INC.",621210 - Offices of Dentists,P,5,Corporation,"KRISTINA ZOULAS, DDS, INC.",2414 ASHBY AVE,,BERKELEY,CA,947052063,Business Owner,2414 ASHBY Ave,BERKELEY,CA,94705,
057 207301700,BL-027553,RENTAL PROPERTY/18 UNITS,Rental of Real Property,NANAK FOUNDATION,531110 - Lessors of Residential Buildings and Dwellings,L,2,Partnership,NANAK FOUNDATION,2649 RUSSELL ST,,BERKELEY,CA,94705-2125,Business Owner,1360 BERKELEY WAY,BERKELEY,CA,94702,
052 157309300,BL-012311,OPTICAL STORE,Retail Trade,THE CUTTING EDGE MONTCLAIR OPTICAL BERKELEY,446130 - Optical Goods Stores,R,2,Sole Ownership,THE CUTTING EDGE MONTCLAIR OPTICAL BERKELEY,2067 ANTIOCH CT,,OAKLAND,CA,94611-2913,Business Owner,2980 COLLEGE Ave,BERKELEY,CA,94705,
057 208800801,BL-039976,COMMERCIAL RENTAL,Rental of Real Property,CROSSROADS VILLAGE (AHLISHAN),531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),L,3,Corporation,CROSSROADS VILLAGE (AHLISHAN),1968A SAN PABLO AVE,,BERKELEY,CA,94702-1612,Business Owner,1085 UNIVERSITY AVE,BERKELEY,CA,94710,
056 199400503,BL-011672,COMMERICAL (150),Non Profit Organizations,STRAWBERRY CREEK LODGE FOUNDATION,531120 - Lessors of Nonresidential Buildings (except Miniwarehouses),N,7,LLC,STRAWBERRY CREEK LODGE FOUNDATION,1835 ALCATRAZ AVE,,BERKELEY,CA,94703-2714,Business Owner,1320 ADDISON ST,BERKELEY,CA,94702,
057 207200300,BL-044965,RENTAL PROPERTY - 4 UNITS,Rental of Real Property,SOLANO RODOLFO,531110 - Lessors of Residential Buildings and Dwellings,L,1,Sole Ownership,SOLANO RODOLFO,116 DUNMAN WAY,,SOUTH SAN FRANCISCO,CA,940801033,Business Owner,1491 UNIVERSITY AVE,BERKELEY,CA,94702,
ZZZZZZZZZZZZZ,BL-014523,ONLINE - PHONES/MVNO,Retail Trade,TELLO COMMUNICATIONS LLC,452990 - All Other General Merchandise Stores,R,1,LLC,TELLO COMMUNICATIONS LLC,478 ASHFORD DUNWOODY RD STE A236,,ATLANTA,GA,30338,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
061 260200200,BL-050613,HAIR STYLIST/MAKE UP,Business Personal Repair Svs,SALON LA LUZ,812112 - Beauty Salons,B,4,Sole Ownership,SALON LA LUZ,888 COLUSA AVE,,BERKELEY,CA,94707-1858,Business Owner,888 COLUSA Ave,BERKELEY,CA,94707,
ZZZZZZZZZZZZZ,BL-020065,GENERAL AND ELECTRICAL CONTRACTOR,Construction or Contractor,VEEBUILD ELECTRIC & VEEBUILD CONSTRUCTION,238210 - Electrical Contractors and Other Wiring Installation Contractors,C,2,Corporation,VEEBUILD ELECTRIC & VEEBUILD CONSTRUCTION,1255 TREAT BLVD,,WALNUT CREEK,CA,94597-7968,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
058 213002001,BL-012462,RES. RENTAL - 8 UNITS,Rental of Real Property,SZETO CANDICE ETAL,531110 - Lessors of Residential Buildings and Dwellings,L,0,Sole Ownership,SZETO CANDICE ETAL,10039 OAKLEAF PL,,CUPERTINO,CA,95014,Business Owner,1728 CURTIS ST,BERKELEY,CA,94702,
ZZZZZZZZZZZZZ,BL-016851,FENCES AND PORTAPOTTIES,Business Personal Repair Svs,"UNITED RENTALS (NORTH AMERICA), INC.",562991 - Septic Tank and Related Services,B,0,Corporation,"UNITED RENTALS (NORTH AMERICA), INC.",251 Little Falls Drive,,Wilmington,DE,19808,Business Owner,0 VARIOUS,BERKELEY,CA,94704,
056 194500101,BL-020854,LEATHER GOODS MFG,Manufacturing,SVEN DESIGN,316993,M,5,Corporation,SVEN DESIGN,2301 4TH ST,,BERKELEY,CA,94710,Business Owner,2301 FOURTH ST,BERKELEY,CA,94710,
052 157801000,BL-022500,HYPNOSIS,Professional SemiProfessional,MARINA GARCIA HYPNOSIS,621399 - Offices of All Other Miscellaneous Health Practitioners,P,0,Sole Ownership,MARINA GARCIA HYPNOSIS,2305 ASHBY AVE,,BERKELEY,CA,94705,Business Owner,2305 ASHBY Ave,BERKELEY,CA,94705,
059 226300900,BL-005107,HOTEL & SMALL CAFE,Rental of Real Property,SENS HOTEL & BISTRO BERKELEY,721110 - Hotels (except Casino Hotels) and Motels,L,12,Corporation,SENS HOTEL & BISTRO BERKELEY,1242 KLEE CT,,SUNNYVALE,CA,940872715,Business Owner,1540 SHATTUCK Ave,BERKELEY,CA,94709,
